name;department;region;population;
Abainville;55;44;310;
Abancourt;59;32;474;
Abancourt;60;32;658;
Abaucourt;54;44;304;
Abaucourt-Hautecourt;55;44;114;
Abbans-Dessous;25;27;270;
Abbans-Dessus;25;27;309;
Abbaretz;44;52;2095;
Abbecourt;60;32;791;
Abainville;55;44;310;
Abancourt;59;32;474;
Abancourt;60;32;658;
Abaucourt;54;44;304;
Abaucourt-Hautecourt;55;44;114;
Abbans-Dessous;25;27;270;
Abbans-Dessus;25;27;309;
Abbaretz;44;52;2095;
Abbecourt;60;32;791;
Bezonvaux;55;44;0;
Cumières-le-Mort-Homme;55;44;0;
Fleury-devant-Douaumont;55;44;0;
Haumont-près-Samogneux;55;44;0;
Louvemont-Côte-du-Poivre;55;44;0;
Rochefourchat;26;84;1;
Leménil-Mitry;54;44;3;
Majastres;04;93;4;
Caunette-sur-Lauquet;11;76;4;
Rennes;35;53;222104;
Lille;59;32;236782;
Bordeaux;33;75;256045;
Strasbourg;67;44;283515;
Montpellier;34;76;286098;
Nantes;44;52;314611;
Nice;06;93;345998;
Toulouse;31;76;482738;
Marseille;13;93;870018;
Paris;75;11;2210875;
